transaction_id,store_id,register_id,employee_id,timestamp,sku,item_name,quantity,price,transaction_type,is_anomaly
T50857,STORE-184,R4,E006,2026-05-20 13:31:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T25860,STORE-184,R2,E004,2026-05-20 13:39:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T87110,STORE-184,R5,E004,2026-05-20 13:40:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T19305,STORE-184,R1,E004,2026-05-20 13:41:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T53309,STORE-184,R1,E009,2026-05-20 13:55:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T73624,STORE-184,R2,E009,2026-05-20 14:06:00,SKU-5512,Duracell AA 20pk,1,19.99,SALE,False
T71953,STORE-184,R2,E008,2026-05-20 14:16:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T22704,STORE-184,R4,E006,2026-05-20 14:18:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T17100,STORE-184,R1,E001,2026-05-20 14:26:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T24322,STORE-184,R2,E004,2026-05-20 14:39:00,SKU-7723,Dove Men Care Gift Set,1,34.99,SALE,False
T28373,STORE-184,R4,E003,2026-05-20 14:47:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T19880,STORE-184,R4,E009,2026-05-20 14:51:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T80855,STORE-184,R1,E002,2026-05-20 15:02:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T73653,STORE-184,R4,E004,2026-05-20 15:09:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T59672,STORE-184,R1,E007,2026-05-20 15:12:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T65444,STORE-184,R5,E008,2026-05-20 15:17:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T38534,STORE-184,R1,E010,2026-05-20 15:22:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T51104,STORE-184,R1,E001,2026-05-20 15:23:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T79615,STORE-184,R2,E001,2026-05-20 15:32:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T34356,STORE-184,R1,E010,2026-05-20 15:46:00,SKU-4401,Jack Daniels 750ml,1,54.99,SALE,False
T25713,STORE-184,R5,E004,2026-05-20 15:53:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T91183,STORE-184,R1,E007,2026-05-20 15:54:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T78522,STORE-184,R3,E005,2026-05-20 16:04:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T44814,STORE-184,R4,E003,2026-05-20 16:08:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T51441,STORE-184,R1,E001,2026-05-20 16:16:00,SKU-5512,Duracell AA 20pk,2,19.99,SALE,False
T23104,STORE-184,R1,E009,2026-05-20 16:26:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T45400,STORE-184,R5,E009,2026-05-21 09:11:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T87656,STORE-184,R3,E006,2026-05-21 09:18:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T69087,STORE-184,R2,E008,2026-05-21 09:23:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T59674,STORE-184,R3,E001,2026-05-21 09:34:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T73904,STORE-184,R2,E006,2026-05-21 09:37:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T88139,STORE-184,R3,E009,2026-05-21 09:42:00,SKU-7723,Dove Men Care Gift Set,1,34.99,SALE,False
T21221,STORE-184,R2,E007,2026-05-21 09:46:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T41499,STORE-184,R4,E008,2026-05-21 09:59:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T48566,STORE-184,R2,E007,2026-05-21 10:01:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T97026,STORE-184,R5,E006,2026-05-21 10:06:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T55056,STORE-184,R4,E009,2026-05-21 10:15:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T69473,STORE-184,R3,E005,2026-05-21 10:27:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T35242,STORE-184,R3,E002,2026-05-21 10:29:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T34267,STORE-184,R2,E004,2026-05-21 10:42:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T87278,STORE-184,R5,E010,2026-05-21 10:47:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T35443,STORE-184,R3,E004,2026-05-21 11:01:00,SKU-4401,Jack Daniels 750ml,2,54.99,SALE,False
T11854,STORE-184,R5,E003,2026-05-21 11:06:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T82529,STORE-184,R3,E003,2026-05-21 11:07:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T11607,STORE-184,R5,E005,2026-05-21 11:09:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T54657,STORE-184,R2,E001,2026-05-21 11:17:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T18564,STORE-184,R4,E008,2026-05-21 11:19:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T99974,STORE-184,R1,E003,2026-05-21 11:30:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T21164,STORE-184,R2,E002,2026-05-21 11:35:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T88135,STORE-184,R5,E004,2026-05-21 11:45:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T68028,STORE-184,R3,E010,2026-05-21 11:53:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T91399,STORE-184,R1,E010,2026-05-21 12:03:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
T37235,STORE-184,R2,E005,2026-05-21 12:16:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T41439,STORE-184,R2,E009,2026-05-21 12:19:00,SKU-4401,Jack Daniels 750ml,1,54.99,SALE,False
T63545,STORE-184,R4,E010,2026-05-21 12:20:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T40340,STORE-184,R3,E005,2026-05-21 12:21:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
T40595,STORE-184,R3,E010,2026-05-21 12:23:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T25043,STORE-184,R5,E004,2026-05-21 12:30:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T44816,STORE-184,R2,E002,2026-05-21 12:45:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T50319,STORE-184,R5,E010,2026-05-21 12:58:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T71433,STORE-184,R3,E007,2026-05-21 13:00:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T74722,STORE-184,R4,E002,2026-05-21 13:09:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T66626,STORE-184,R3,E010,2026-05-21 13:24:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T40005,STORE-184,R5,E010,2026-05-21 13:26:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T15273,STORE-184,R2,E008,2026-05-21 13:36:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
T46458,STORE-184,R2,E010,2026-05-21 13:51:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T71605,STORE-184,R3,E007,2026-05-21 13:53:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T23710,STORE-184,R2,E006,2026-05-21 14:04:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T96846,STORE-184,R4,E009,2026-05-21 14:09:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T51224,STORE-184,R3,E006,2026-05-21 14:11:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T77449,STORE-184,R1,E009,2026-05-21 14:25:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T34586,STORE-184,R5,E006,2026-05-21 14:26:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T67939,STORE-184,R1,E004,2026-05-21 14:37:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T47752,STORE-184,R4,E008,2026-05-21 14:40:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T89806,STORE-184,R2,E003,2026-05-21 14:51:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T82384,STORE-184,R4,E002,2026-05-21 14:52:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T25396,STORE-184,R2,E008,2026-05-21 15:00:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T45838,STORE-184,R4,E008,2026-05-21 15:09:00,SKU-5512,Duracell AA 20pk,2,19.99,SALE,False
T82255,STORE-184,R2,E007,2026-05-21 15:17:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T27892,STORE-184,R1,E005,2026-05-21 15:26:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T76550,STORE-184,R3,E001,2026-05-21 15:41:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T86931,STORE-184,R5,E008,2026-05-21 15:55:00,SKU-5512,Duracell AA 20pk,1,19.99,SALE,False
T73483,STORE-184,R3,E006,2026-05-21 16:04:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T69682,STORE-184,R3,E004,2026-05-21 16:11:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T60196,STORE-184,R2,E007,2026-05-21 16:21:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T71993,STORE-184,R4,E007,2026-05-21 16:33:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T59308,STORE-184,R4,E008,2026-05-22 09:04:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T50846,STORE-184,R3,E010,2026-05-22 09:10:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T16895,STORE-184,R2,E003,2026-05-22 09:25:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T20693,STORE-184,R3,E008,2026-05-22 09:36:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T89570,STORE-184,R4,E007,2026-05-22 09:44:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T77154,STORE-184,R1,E006,2026-05-22 09:57:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T98895,STORE-184,R5,E008,2026-05-22 10:02:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T38903,STORE-184,R4,E010,2026-05-22 10:03:00,SKU-5512,Duracell AA 20pk,1,19.99,SALE,False
T49507,STORE-184,R2,E003,2026-05-22 10:07:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T25726,STORE-184,R1,E008,2026-05-22 10:13:00,SKU-5512,Duracell AA 20pk,3,19.99,SALE,False
T26932,STORE-184,R4,E009,2026-05-22 10:16:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T83233,STORE-184,R3,E002,2026-05-22 10:25:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T12456,STORE-184,R4,E002,2026-05-22 10:32:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T85156,STORE-184,R4,E007,2026-05-22 10:39:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T12733,STORE-184,R3,E003,2026-05-22 10:46:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T57428,STORE-184,R1,E007,2026-05-22 11:00:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T87184,STORE-184,R4,E009,2026-05-22 11:07:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T50668,STORE-184,R3,E004,2026-05-22 11:21:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T76910,STORE-184,R1,E009,2026-05-22 11:23:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T55793,STORE-184,R3,E003,2026-05-22 11:38:00,SKU-3301,Oral-B Electric Toothbrush,1,69.99,SALE,False
T43550,STORE-184,R2,E003,2026-05-22 11:41:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T95918,STORE-184,R1,E003,2026-05-22 11:54:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T83889,STORE-184,R5,E008,2026-05-22 12:02:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T93269,STORE-184,R5,E006,2026-05-22 12:13:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T67640,STORE-184,R1,E008,2026-05-22 12:16:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T46002,STORE-184,R5,E001,2026-05-22 12:29:00,SKU-5512,Duracell AA 20pk,2,19.99,SALE,False
T50685,STORE-184,R4,E008,2026-05-22 12:31:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T47627,STORE-184,R1,E002,2026-05-22 12:37:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T60394,STORE-184,R4,E010,2026-05-22 12:46:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T84928,STORE-184,R2,E006,2026-05-22 12:54:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T29773,STORE-184,R1,E008,2026-05-22 13:03:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T21053,STORE-184,R5,E003,2026-05-22 13:15:00,SKU-7723,Dove Men Care Gift Set,1,34.99,SALE,False
T67377,STORE-184,R4,E009,2026-05-22 13:27:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T57696,STORE-184,R3,E005,2026-05-22 13:30:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T54350,STORE-184,R5,E001,2026-05-22 13:43:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T53213,STORE-184,R1,E009,2026-05-22 13:45:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T43029,STORE-184,R5,E003,2026-05-22 13:50:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T96980,STORE-184,R2,E006,2026-05-22 14:00:00,SKU-4401,Jack Daniels 750ml,2,54.99,SALE,False
T87993,STORE-184,R1,E005,2026-05-22 14:03:00,SKU-0011,Coca Cola 2L,3,2.99,SALE,False
T53054,STORE-184,R2,E009,2026-05-22 14:14:00,SKU-0011,Coca Cola 2L,1,2.99,SALE,False
T57425,STORE-184,R1,E006,2026-05-22 14:23:00,SKU-0011,Coca Cola 2L,2,2.99,SALE,False
T54791,STORE-184,R4,E004,2026-05-22 14:27:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T20114,STORE-184,R3,E002,2026-05-22 14:30:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T79013,STORE-184,R1,E006,2026-05-22 14:44:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T59377,STORE-184,R2,E003,2026-05-22 14:54:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T31697,STORE-184,R4,E001,2026-05-22 15:07:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T41133,STORE-184,R4,E010,2026-05-22 15:18:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T79993,STORE-184,R2,E005,2026-05-22 15:22:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T98907,STORE-184,R5,E008,2026-05-22 15:28:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T60052,STORE-184,R5,E009,2026-05-22 15:41:00,SKU-5512,Duracell AA 20pk,2,19.99,SALE,False
T36174,STORE-184,R5,E003,2026-05-22 15:55:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T82070,STORE-184,R4,E005,2026-05-22 16:00:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,True
T72991,STORE-184,R3,E009,2026-05-22 16:06:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T26341,STORE-184,R3,E002,2026-05-22 16:20:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T77286,STORE-184,R2,E007,2026-05-22 16:28:00,SKU-5512,Duracell AA 20pk,1,19.99,SALE,False
T69130,STORE-184,R3,E001,2026-05-22 16:42:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T75799,STORE-184,R3,E004,2026-05-22 16:49:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T39430,STORE-184,R1,E006,2026-05-22 16:55:00,SKU-4401,Jack Daniels 750ml,1,54.99,SALE,False
T29142,STORE-184,R2,E001,2026-05-22 17:08:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T28191,STORE-184,R4,E008,2026-05-22 17:20:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T20384,STORE-184,R1,E005,2026-05-22 17:35:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T57920,STORE-184,R2,E004,2026-05-23 09:09:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T75546,STORE-184,R1,E001,2026-05-23 09:16:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T53652,STORE-184,R4,E009,2026-05-23 09:28:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T77568,STORE-184,R2,E006,2026-05-23 09:38:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T61505,STORE-184,R5,E005,2026-05-23 09:41:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T76809,STORE-184,R5,E008,2026-05-23 09:50:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T72245,STORE-184,R1,E006,2026-05-23 09:55:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T86507,STORE-184,R3,E001,2026-05-23 10:02:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T95929,STORE-184,R5,E010,2026-05-23 10:07:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T72973,STORE-184,R2,E009,2026-05-23 10:17:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T59832,STORE-184,R2,E004,2026-05-23 10:30:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T24404,STORE-184,R2,E001,2026-05-23 10:42:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T29848,STORE-184,R4,E004,2026-05-23 10:49:00,SKU-7723,Dove Men Care Gift Set,2,34.99,SALE,False
T90147,STORE-184,R4,E001,2026-05-23 11:02:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T37176,STORE-184,R5,E006,2026-05-23 11:11:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T59391,STORE-184,R3,E003,2026-05-23 11:20:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T81601,STORE-184,R3,E005,2026-05-23 11:26:00,SKU-0033,Bread Loaf,3,4.99,SALE,False
T42311,STORE-184,R3,E009,2026-05-23 11:30:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T47880,STORE-184,R2,E008,2026-05-23 11:35:00,SKU-3301,Oral-B Electric Toothbrush,2,69.99,SALE,False
T83464,STORE-184,R3,E005,2026-05-23 11:41:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T81197,STORE-184,R4,E007,2026-05-23 11:52:00,SKU-0044,Milk 1 Gallon,2,5.99,SALE,False
T15513,STORE-184,R3,E002,2026-05-23 11:57:00,SKU-2210,Chanel No.5 Perfume,2,89.99,SALE,False
T43612,STORE-184,R4,E004,2026-05-23 12:08:00,SKU-0022,Lay's Chips 200g,1,3.49,SALE,False
T83664,STORE-184,R3,E003,2026-05-23 12:13:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T86917,STORE-184,R2,E004,2026-05-23 12:25:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T93616,STORE-184,R2,E001,2026-05-23 12:29:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T71918,STORE-184,R1,E003,2026-05-23 12:35:00,SKU-0011,Coca Cola 2L,1,2.99,SALE,False
T30701,STORE-184,R4,E008,2026-05-23 12:50:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T47649,STORE-184,R3,E005,2026-05-23 13:03:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T21725,STORE-184,R5,E004,2026-05-23 13:18:00,SKU-8821,Gillette Fusion Razor 4pk,3,24.99,SALE,False
T32946,STORE-184,R4,E003,2026-05-23 13:33:00,SKU-8821,Gillette Fusion Razor 4pk,1,24.99,SALE,False
T74930,STORE-184,R2,E005,2026-05-23 13:46:00,SKU-0011,Coca Cola 2L,1,2.99,SALE,False
T84443,STORE-184,R5,E002,2026-05-23 13:51:00,SKU-8821,Gillette Fusion Razor 4pk,2,24.99,SALE,False
T94058,STORE-184,R5,E009,2026-05-23 13:59:00,SKU-5512,Duracell AA 20pk,2,19.99,SALE,False
T76088,STORE-184,R4,E005,2026-05-23 14:13:00,SKU-2210,Chanel No.5 Perfume,1,89.99,SALE,False
T31298,STORE-184,R4,E005,2026-05-23 14:19:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T54185,STORE-184,R3,E010,2026-05-23 14:20:00,SKU-2210,Chanel No.5 Perfume,3,89.99,SALE,False
T90079,STORE-184,R4,E007,2026-05-23 14:23:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T62538,STORE-184,R1,E003,2026-05-23 14:25:00,SKU-7723,Dove Men Care Gift Set,1,34.99,SALE,False
T42512,STORE-184,R1,E005,2026-05-23 14:31:00,SKU-0022,Lay's Chips 200g,2,3.49,SALE,False
T44995,STORE-184,R3,E005,2026-05-23 14:39:00,SKU-3301,Oral-B Electric Toothbrush,3,69.99,SALE,False
T44282,STORE-184,R3,E004,2026-05-23 14:40:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T50213,STORE-184,R2,E007,2026-05-23 14:48:00,SKU-4401,Jack Daniels 750ml,3,54.99,SALE,False
T50760,STORE-184,R1,E005,2026-05-23 15:03:00,SKU-0033,Bread Loaf,2,4.99,SALE,False
T38721,STORE-184,R2,E008,2026-05-23 15:07:00,SKU-0044,Milk 1 Gallon,1,5.99,SALE,False
T89395,STORE-184,R3,E007,2026-05-23 15:19:00,SKU-0022,Lay's Chips 200g,3,3.49,SALE,False
T71712,STORE-184,R5,E004,2026-05-23 15:34:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
T20730,STORE-184,R5,E008,2026-05-23 15:48:00,SKU-0044,Milk 1 Gallon,3,5.99,SALE,False
T83946,STORE-184,R1,E001,2026-05-23 15:50:00,SKU-7723,Dove Men Care Gift Set,3,34.99,SALE,False
T85065,STORE-184,R5,E003,2026-05-23 15:54:00,SKU-0033,Bread Loaf,1,4.99,SALE,False
