event_id,store_id,zone,camera_id,timestamp,dwell_seconds,motion_flag,person_count,event_type,is_anomaly
CAM-7730,STORE-184,Pharmacy,CAM-PH1,2026-05-22 14:00:00,134,True,1,BROWSE,False
CAM-8632,STORE-184,Aisle 2,CAM-02A,2026-05-22 14:15:00,162,False,1,CLEAR,False
CAM-3114,STORE-184,Entrance,CAM-EN1,2026-05-22 14:21:00,140,True,0,CLEAR,False
CAM-3697,STORE-184,Aisle 3,CAM-03A,2026-05-22 14:31:00,71,False,1,BROWSE,False
CAM-2292,STORE-184,Exit,CAM-EX1,2026-05-22 14:41:00,94,True,2,PASS,False
CAM-9740,STORE-184,Aisle 9,CAM-09A,2026-05-22 15:01:00,53,True,1,PASS,False
CAM-6531,STORE-184,Entrance,CAM-EN1,2026-05-22 15:21:00,174,True,0,PASS,False
CAM-5336,STORE-184,Aisle 1,CAM-01A,2026-05-22 15:40:00,83,False,0,BROWSE,False
CAM-5949,STORE-184,Exit,CAM-EX1,2026-05-22 15:50:00,153,True,3,BROWSE,False
CAM-1981,STORE-184,Pharmacy,CAM-PH1,2026-05-22 15:53:00,70,False,3,BROWSE,False
CAM-2584,STORE-184,Aisle 7,CAM-07A,2026-05-22 15:55:00,487,True,1,LOITER,True
CAM-6573,STORE-184,Pharmacy,CAM-PH1,2026-05-22 16:00:00,66,False,2,CLEAR,False
CAM-3142,STORE-184,Electronics,CAM-EL1,2026-05-22 16:13:00,124,True,2,PASS,False
CAM-7453,STORE-184,Exit,CAM-EX1,2026-05-22 16:13:00,3,True,1,PASS,True
CAM-5382,STORE-184,Pharmacy,CAM-PH1,2026-05-22 16:17:00,145,True,1,PASS,False
CAM-7293,STORE-184,Aisle 1,CAM-01A,2026-05-22 16:27:00,137,True,1,BROWSE,False
CAM-4110,STORE-184,Entrance,CAM-EN1,2026-05-22 16:38:00,70,False,3,BROWSE,False
CAM-8191,STORE-184,Aisle 1,CAM-01A,2026-05-23 09:13:00,89,True,0,PASS,False
CAM-4836,STORE-184,Exit,CAM-EX1,2026-05-23 09:23:00,177,False,2,PASS,False
CAM-9540,STORE-184,Aisle 9,CAM-09A,2026-05-23 09:28:00,86,False,2,BROWSE,False
CAM-3869,STORE-184,Aisle 1,CAM-01A,2026-05-23 09:46:00,139,False,0,BROWSE,False
CAM-6222,STORE-184,Liquor,CAM-LQ1,2026-05-23 10:03:00,136,False,1,BROWSE,False
CAM-9813,STORE-184,Liquor,CAM-LQ1,2026-05-23 10:09:00,151,True,1,BROWSE,False
CAM-1944,STORE-184,Aisle 3,CAM-03A,2026-05-23 10:24:00,173,False,3,CLEAR,False
CAM-7363,STORE-184,Exit,CAM-EX1,2026-05-23 10:29:00,92,False,1,BROWSE,False
CAM-7079,STORE-184,Aisle 2,CAM-02A,2026-05-23 10:44:00,53,True,0,BROWSE,False
CAM-1647,STORE-184,Liquor,CAM-LQ1,2026-05-23 11:04:00,48,True,1,BROWSE,False
CAM-5967,STORE-184,Aisle 7,CAM-07A,2026-05-23 11:15:00,33,True,1,CLEAR,False
CAM-4974,STORE-184,Aisle 2,CAM-02A,2026-05-23 11:31:00,82,False,1,CLEAR,False
CAM-7236,STORE-184,Electronics,CAM-EL1,2026-05-23 11:41:00,149,False,2,BROWSE,False
CAM-9147,STORE-184,Electronics,CAM-EL1,2026-05-23 11:58:00,149,True,3,BROWSE,False
CAM-6126,STORE-184,Aisle 7,CAM-07A,2026-05-23 12:10:00,135,True,1,CLEAR,False
CAM-5272,STORE-184,Aisle 3,CAM-03A,2026-05-23 12:11:00,171,False,2,PASS,False
CAM-4768,STORE-184,Aisle 7,CAM-07A,2026-05-23 12:22:00,127,True,3,CLEAR,False
CAM-9005,STORE-184,Electronics,CAM-EL1,2026-05-23 12:31:00,155,False,1,CLEAR,False
CAM-3293,STORE-184,Electronics,CAM-EL1,2026-05-23 12:37:00,169,False,1,CLEAR,False
CAM-1554,STORE-184,Aisle 1,CAM-01A,2026-05-23 12:54:00,49,True,0,BROWSE,False
CAM-2113,STORE-184,Aisle 3,CAM-03A,2026-05-23 13:02:00,68,True,1,CLEAR,False
CAM-1990,STORE-184,Pharmacy,CAM-PH1,2026-05-23 13:14:00,153,False,0,PASS,False
CAM-7739,STORE-184,Exit,CAM-EX1,2026-05-23 13:32:00,33,True,2,CLEAR,False
CAM-9228,STORE-184,Aisle 9,CAM-09A,2026-05-23 13:33:00,140,True,0,PASS,False
CAM-4948,STORE-184,Exit,CAM-EX1,2026-05-23 13:38:00,79,False,2,BROWSE,False
CAM-7112,STORE-184,Liquor,CAM-LQ1,2026-05-23 13:41:00,133,False,1,CLEAR,False
CAM-2320,STORE-184,Aisle 7,CAM-07A,2026-05-23 13:51:00,38,True,3,BROWSE,False
CAM-8798,STORE-184,Liquor,CAM-LQ1,2026-05-23 14:09:00,44,True,1,PASS,False
CAM-6427,STORE-184,Pharmacy,CAM-PH1,2026-05-23 14:23:00,174,True,0,PASS,False
CAM-8790,STORE-184,Aisle 7,CAM-07A,2026-05-23 14:42:00,99,True,0,CLEAR,False
CAM-1539,STORE-184,Aisle 9,CAM-09A,2026-05-23 15:00:00,75,False,0,PASS,False
CAM-7525,STORE-184,Entrance,CAM-EN1,2026-05-23 15:05:00,49,False,1,CLEAR,False
CAM-7375,STORE-184,Aisle 7,CAM-07A,2026-05-23 15:24:00,168,False,3,CLEAR,False
CAM-9204,STORE-184,Aisle 3,CAM-03A,2026-05-23 15:27:00,118,True,0,BROWSE,False
CAM-6580,STORE-184,Aisle 7,CAM-07A,2026-05-23 15:30:00,131,False,0,CLEAR,False
CAM-9038,STORE-184,Aisle 9,CAM-09A,2026-05-23 15:45:00,88,False,3,BROWSE,False
CAM-7227,STORE-184,Aisle 3,CAM-03A,2026-05-23 16:04:00,51,False,1,CLEAR,False
CAM-5390,STORE-184,Aisle 2,CAM-02A,2026-05-23 16:07:00,69,False,1,CLEAR,False
CAM-6909,STORE-184,Liquor,CAM-LQ1,2026-05-23 16:18:00,57,True,0,BROWSE,False
CAM-5419,STORE-184,Pharmacy,CAM-PH1,2026-05-23 16:30:00,56,True,0,PASS,False
CAM-5489,STORE-184,Aisle 9,CAM-09A,2026-05-24 09:06:00,53,False,2,PASS,False
CAM-1848,STORE-184,Electronics,CAM-EL1,2026-05-24 09:12:00,131,False,1,BROWSE,False
CAM-1017,STORE-184,Aisle 2,CAM-02A,2026-05-24 09:16:00,84,False,0,PASS,False
CAM-9510,STORE-184,Entrance,CAM-EN1,2026-05-24 09:24:00,143,True,0,CLEAR,False
CAM-7919,STORE-184,Electronics,CAM-EL1,2026-05-24 09:28:00,63,False,0,PASS,False
CAM-2678,STORE-184,Liquor,CAM-LQ1,2026-05-24 09:31:00,56,False,2,BROWSE,False
CAM-3181,STORE-184,Aisle 3,CAM-03A,2026-05-24 09:44:00,66,True,0,CLEAR,False
CAM-6753,STORE-184,Aisle 3,CAM-03A,2026-05-24 09:59:00,84,True,3,CLEAR,False
CAM-2420,STORE-184,Pharmacy,CAM-PH1,2026-05-24 10:06:00,55,True,0,CLEAR,False
CAM-8035,STORE-184,Liquor,CAM-LQ1,2026-05-24 10:18:00,110,True,1,BROWSE,False
CAM-5668,STORE-184,Aisle 2,CAM-02A,2026-05-24 10:26:00,36,False,1,CLEAR,False
CAM-4090,STORE-184,Entrance,CAM-EN1,2026-05-24 10:43:00,130,False,0,PASS,False
CAM-2847,STORE-184,Pharmacy,CAM-PH1,2026-05-24 10:56:00,91,False,0,CLEAR,False
CAM-6185,STORE-184,Aisle 1,CAM-01A,2026-05-24 11:08:00,63,False,3,BROWSE,False
CAM-8717,STORE-184,Exit,CAM-EX1,2026-05-24 11:14:00,48,True,0,PASS,False
CAM-1652,STORE-184,Aisle 9,CAM-09A,2026-05-24 11:21:00,45,False,2,CLEAR,False
CAM-7939,STORE-184,Exit,CAM-EX1,2026-05-24 11:35:00,132,True,1,BROWSE,False
CAM-2294,STORE-184,Aisle 2,CAM-02A,2026-05-24 11:45:00,160,True,1,CLEAR,False
CAM-2083,STORE-184,Electronics,CAM-EL1,2026-05-24 11:58:00,109,False,1,PASS,False
CAM-8118,STORE-184,Aisle 7,CAM-07A,2026-05-24 12:01:00,59,False,0,BROWSE,False
CAM-1207,STORE-184,Aisle 3,CAM-03A,2026-05-24 12:05:00,65,True,1,BROWSE,False
CAM-9474,STORE-184,Electronics,CAM-EL1,2026-05-24 12:22:00,96,True,2,PASS,False
CAM-1480,STORE-184,Aisle 9,CAM-09A,2026-05-24 12:26:00,115,False,2,CLEAR,False
CAM-2262,STORE-184,Aisle 2,CAM-02A,2026-05-24 12:35:00,157,False,2,PASS,False
CAM-3734,STORE-184,Pharmacy,CAM-PH1,2026-05-24 12:54:00,124,True,2,PASS,False
CAM-4742,STORE-184,Entrance,CAM-EN1,2026-05-24 12:58:00,160,True,0,PASS,False
CAM-8729,STORE-184,Aisle 7,CAM-07A,2026-05-24 13:00:00,123,False,1,PASS,False
CAM-7870,STORE-184,Aisle 1,CAM-01A,2026-05-24 13:18:00,87,False,1,BROWSE,False
CAM-2276,STORE-184,Electronics,CAM-EL1,2026-05-24 13:27:00,176,False,0,CLEAR,False
CAM-4656,STORE-184,Aisle 1,CAM-01A,2026-05-24 13:33:00,162,True,3,PASS,False
CAM-6090,STORE-184,Pharmacy,CAM-PH1,2026-05-24 13:43:00,113,True,3,PASS,False
CAM-5777,STORE-184,Electronics,CAM-EL1,2026-05-24 13:50:00,174,False,1,BROWSE,False
CAM-9083,STORE-184,Electronics,CAM-EL1,2026-05-24 14:09:00,80,True,1,PASS,False
CAM-4817,STORE-184,Liquor,CAM-LQ1,2026-05-24 14:10:00,168,False,0,BROWSE,False
CAM-6038,STORE-184,Aisle 1,CAM-01A,2026-05-24 14:23:00,56,True,1,BROWSE,False
CAM-3332,STORE-184,Pharmacy,CAM-PH1,2026-05-24 14:25:00,101,True,0,PASS,False
CAM-7102,STORE-184,Exit,CAM-EX1,2026-05-24 14:39:00,147,True,0,CLEAR,False
CAM-2226,STORE-184,Aisle 3,CAM-03A,2026-05-24 14:52:00,175,True,3,CLEAR,False
CAM-5778,STORE-184,Aisle 3,CAM-03A,2026-05-24 15:00:00,96,False,3,CLEAR,False
CAM-8417,STORE-184,Electronics,CAM-EL1,2026-05-24 15:11:00,99,True,0,PASS,False
CAM-5687,STORE-184,Entrance,CAM-EN1,2026-05-25 09:04:00,167,False,3,BROWSE,False
CAM-8750,STORE-184,Liquor,CAM-LQ1,2026-05-25 09:20:00,39,True,2,BROWSE,False
CAM-7581,STORE-184,Aisle 3,CAM-03A,2026-05-25 09:40:00,39,False,2,CLEAR,False
CAM-8785,STORE-184,Aisle 7,CAM-07A,2026-05-25 09:42:00,98,False,0,BROWSE,False
CAM-5593,STORE-184,Aisle 9,CAM-09A,2026-05-25 09:52:00,155,True,1,PASS,False
CAM-6257,STORE-184,Aisle 9,CAM-09A,2026-05-25 10:07:00,98,False,0,PASS,False
CAM-7671,STORE-184,Pharmacy,CAM-PH1,2026-05-25 10:14:00,154,False,0,CLEAR,False
CAM-6097,STORE-184,Aisle 3,CAM-03A,2026-05-25 10:17:00,159,False,1,CLEAR,False
CAM-3846,STORE-184,Entrance,CAM-EN1,2026-05-25 10:18:00,79,True,0,PASS,False
CAM-1828,STORE-184,Aisle 1,CAM-01A,2026-05-25 10:33:00,122,True,2,BROWSE,False
CAM-7503,STORE-184,Pharmacy,CAM-PH1,2026-05-25 10:50:00,61,True,1,BROWSE,False
CAM-8308,STORE-184,Pharmacy,CAM-PH1,2026-05-25 11:10:00,75,False,2,BROWSE,False
CAM-2480,STORE-184,Aisle 3,CAM-03A,2026-05-25 11:19:00,102,True,3,PASS,False
CAM-4511,STORE-184,Aisle 3,CAM-03A,2026-05-25 11:38:00,86,True,1,BROWSE,False
CAM-1328,STORE-184,Liquor,CAM-LQ1,2026-05-25 11:55:00,32,False,1,CLEAR,False
CAM-1138,STORE-184,Aisle 3,CAM-03A,2026-05-25 12:15:00,87,False,2,CLEAR,False
CAM-7168,STORE-184,Aisle 9,CAM-09A,2026-05-25 12:29:00,119,False,2,PASS,False
CAM-9530,STORE-184,Pharmacy,CAM-PH1,2026-05-25 12:39:00,131,True,0,CLEAR,False
CAM-7713,STORE-184,Aisle 7,CAM-07A,2026-05-25 12:55:00,487,True,1,LOITER,True
CAM-5631,STORE-184,Electronics,CAM-EL1,2026-05-25 12:57:00,106,True,3,PASS,False
CAM-6327,STORE-184,Electronics,CAM-EL1,2026-05-25 13:06:00,100,False,2,PASS,False
CAM-5839,STORE-184,Exit,CAM-EX1,2026-05-25 13:13:00,3,True,1,PASS,True
CAM-4937,STORE-184,Aisle 3,CAM-03A,2026-05-25 13:23:00,44,False,2,CLEAR,False
CAM-9148,STORE-184,Aisle 3,CAM-03A,2026-05-25 13:24:00,105,False,3,BROWSE,False
CAM-4111,STORE-184,Liquor,CAM-LQ1,2026-05-25 13:26:00,117,True,3,CLEAR,False
CAM-5918,STORE-184,Electronics,CAM-EL1,2026-05-25 13:43:00,73,True,2,PASS,False
CAM-5237,STORE-184,Pharmacy,CAM-PH1,2026-05-25 13:48:00,173,True,2,CLEAR,False
CAM-6820,STORE-184,Aisle 2,CAM-02A,2026-05-25 13:56:00,87,False,3,BROWSE,False
CAM-5817,STORE-184,Electronics,CAM-EL1,2026-05-25 14:05:00,148,True,3,PASS,False
CAM-2166,STORE-184,Entrance,CAM-EN1,2026-05-25 14:24:00,150,True,0,CLEAR,False
CAM-5888,STORE-184,Liquor,CAM-LQ1,2026-05-25 14:41:00,135,True,1,PASS,False
CAM-7704,STORE-184,Aisle 7,CAM-07A,2026-05-25 14:52:00,175,False,1,BROWSE,False
CAM-8988,STORE-184,Aisle 3,CAM-03A,2026-05-25 14:55:00,115,True,2,CLEAR,False
CAM-8406,STORE-184,Aisle 1,CAM-01A,2026-05-25 14:56:00,100,True,1,CLEAR,False
CAM-2442,STORE-184,Aisle 3,CAM-03A,2026-05-25 15:12:00,63,False,3,BROWSE,False
CAM-7280,STORE-184,Liquor,CAM-LQ1,2026-05-25 15:28:00,31,True,1,CLEAR,False
CAM-6279,STORE-184,Electronics,CAM-EL1,2026-05-25 15:29:00,165,True,0,CLEAR,False
CAM-4707,STORE-184,Aisle 1,CAM-01A,2026-05-25 15:37:00,118,False,1,PASS,False
CAM-6015,STORE-184,Liquor,CAM-LQ1,2026-05-25 15:54:00,72,True,0,BROWSE,False
CAM-9524,STORE-184,Aisle 9,CAM-09A,2026-05-25 16:09:00,164,False,3,CLEAR,False
CAM-9031,STORE-184,Aisle 3,CAM-03A,2026-05-25 16:20:00,121,True,1,BROWSE,False
CAM-4675,STORE-184,Aisle 1,CAM-01A,2026-05-25 16:28:00,63,True,0,CLEAR,False
CAM-4495,STORE-184,Electronics,CAM-EL1,2026-05-26 09:08:00,114,False,2,BROWSE,False
CAM-9691,STORE-184,Aisle 7,CAM-07A,2026-05-26 09:28:00,151,True,0,CLEAR,False
CAM-4937,STORE-184,Electronics,CAM-EL1,2026-05-26 09:43:00,92,True,2,BROWSE,False
CAM-5203,STORE-184,Aisle 2,CAM-02A,2026-05-26 09:56:00,168,False,0,CLEAR,False
CAM-9335,STORE-184,Electronics,CAM-EL1,2026-05-26 10:13:00,144,False,0,BROWSE,False
CAM-9419,STORE-184,Aisle 7,CAM-07A,2026-05-26 10:24:00,51,True,1,CLEAR,False
CAM-2072,STORE-184,Exit,CAM-EX1,2026-05-26 10:25:00,83,True,3,PASS,False
CAM-8130,STORE-184,Aisle 7,CAM-07A,2026-05-26 10:43:00,48,True,0,BROWSE,False
CAM-2433,STORE-184,Electronics,CAM-EL1,2026-05-26 10:45:00,48,True,1,BROWSE,False
CAM-4729,STORE-184,Exit,CAM-EX1,2026-05-26 10:48:00,96,False,3,BROWSE,False
CAM-6183,STORE-184,Liquor,CAM-LQ1,2026-05-26 11:02:00,34,False,0,CLEAR,False
CAM-2036,STORE-184,Aisle 1,CAM-01A,2026-05-26 11:22:00,179,True,0,BROWSE,False
CAM-5748,STORE-184,Exit,CAM-EX1,2026-05-26 11:26:00,107,True,2,BROWSE,False
CAM-1504,STORE-184,Liquor,CAM-LQ1,2026-05-26 11:39:00,151,True,1,PASS,False
CAM-5832,STORE-184,Liquor,CAM-LQ1,2026-05-26 11:57:00,66,False,2,PASS,False
CAM-3316,STORE-184,Exit,CAM-EX1,2026-05-26 12:15:00,61,True,0,CLEAR,False
CAM-9800,STORE-184,Entrance,CAM-EN1,2026-05-26 12:28:00,170,True,2,PASS,False
