record_id,store_id,sku,item_name,zone,expected_qty,actual_qty,delta,timestamp,adjusted_by,is_anomaly
INV-6751,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,13,13,0,2026-05-21 19:00:00,SYSTEM,False
INV-3347,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,10,9,-1,2026-05-21 19:00:00,SYSTEM,False
INV-2140,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,14,15,1,2026-05-21 19:00:00,SYSTEM,False
INV-2503,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,8,8,0,2026-05-21 19:00:00,SYSTEM,False
INV-1379,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,15,15,0,2026-05-22 13:00:00,SYSTEM,False
INV-9281,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,14,13,-1,2026-05-22 13:00:00,SYSTEM,False
INV-4524,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,11,11,0,2026-05-22 13:00:00,SYSTEM,False
INV-1797,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,13,14,1,2026-05-22 13:00:00,SYSTEM,False
INV-9108,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,12,11,-1,2026-05-22 13:00:00,SYSTEM,False
INV-5681,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,15,16,1,2026-05-22 13:00:00,SYSTEM,False
INV-7114,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,12,9,-3,2026-05-22 16:15:00,SYSTEM,True
INV-2761,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,8,9,1,2026-05-22 19:00:00,SYSTEM,False
INV-5333,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,10,10,0,2026-05-22 19:00:00,SYSTEM,False
INV-6995,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,14,14,0,2026-05-22 19:00:00,SYSTEM,False
INV-1838,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,14,13,-1,2026-05-22 19:00:00,SYSTEM,False
INV-6939,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,11,12,1,2026-05-22 19:00:00,SYSTEM,False
INV-2204,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,12,13,1,2026-05-22 19:00:00,SYSTEM,False
INV-9395,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,15,15,0,2026-05-23 13:00:00,SYSTEM,False
INV-1430,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,9,9,0,2026-05-23 13:00:00,SYSTEM,False
INV-2524,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,13,12,-1,2026-05-23 13:00:00,SYSTEM,False
INV-7311,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,13,14,1,2026-05-23 13:00:00,SYSTEM,False
INV-7779,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,12,11,-1,2026-05-23 13:00:00,SYSTEM,False
INV-4977,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,9,9,0,2026-05-23 13:00:00,SYSTEM,False
INV-7237,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,10,11,1,2026-05-23 19:00:00,SYSTEM,False
INV-5405,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,10,10,0,2026-05-23 19:00:00,SYSTEM,False
INV-9079,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,12,12,0,2026-05-23 19:00:00,SYSTEM,False
INV-3739,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,9,9,0,2026-05-23 19:00:00,SYSTEM,False
INV-7899,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,12,12,0,2026-05-23 19:00:00,SYSTEM,False
INV-2260,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,15,15,0,2026-05-23 19:00:00,SYSTEM,False
INV-3546,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,9,9,0,2026-05-24 13:00:00,SYSTEM,False
INV-8365,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,10,9,-1,2026-05-24 13:00:00,SYSTEM,False
INV-7660,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,13,13,0,2026-05-24 13:00:00,SYSTEM,False
INV-4401,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,13,12,-1,2026-05-24 13:00:00,SYSTEM,False
INV-8591,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,12,12,0,2026-05-24 13:00:00,SYSTEM,False
INV-2481,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,9,9,0,2026-05-24 13:00:00,SYSTEM,False
INV-1660,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,12,12,0,2026-05-24 19:00:00,SYSTEM,False
INV-3430,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,13,13,0,2026-05-24 19:00:00,SYSTEM,False
INV-6828,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,11,10,-1,2026-05-24 19:00:00,SYSTEM,False
INV-5896,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,8,8,0,2026-05-24 19:00:00,SYSTEM,False
INV-1509,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,10,10,0,2026-05-24 19:00:00,SYSTEM,False
INV-5093,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,15,15,0,2026-05-24 19:00:00,SYSTEM,False
INV-3017,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,10,11,1,2026-05-25 13:00:00,SYSTEM,False
INV-7147,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,8,8,0,2026-05-25 13:00:00,SYSTEM,False
INV-1785,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,8,8,0,2026-05-25 13:00:00,SYSTEM,False
INV-1790,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,8,7,-1,2026-05-25 13:00:00,SYSTEM,False
INV-8279,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,14,13,-1,2026-05-25 13:00:00,SYSTEM,False
INV-9966,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,9,9,0,2026-05-25 13:00:00,SYSTEM,False
INV-3627,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,12,9,-3,2026-05-25 13:15:00,SYSTEM,True
INV-3508,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,15,15,0,2026-05-25 19:00:00,SYSTEM,False
INV-5933,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,8,8,0,2026-05-25 19:00:00,SYSTEM,False
INV-9524,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,9,9,0,2026-05-25 19:00:00,SYSTEM,False
INV-7862,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,10,10,0,2026-05-25 19:00:00,SYSTEM,False
INV-5631,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,9,8,-1,2026-05-25 19:00:00,SYSTEM,False
INV-9154,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,9,8,-1,2026-05-25 19:00:00,SYSTEM,False
INV-8844,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,15,14,-1,2026-05-26 13:00:00,SYSTEM,False
INV-3641,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,11,11,0,2026-05-26 13:00:00,SYSTEM,False
INV-4992,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,8,8,0,2026-05-26 13:00:00,SYSTEM,False
INV-3639,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,10,9,-1,2026-05-26 13:00:00,SYSTEM,False
INV-3406,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,8,8,0,2026-05-26 13:00:00,SYSTEM,False
INV-5231,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,10,9,-1,2026-05-26 13:00:00,SYSTEM,False
INV-1305,STORE-184,SKU-8821,Gillette Fusion Razor 4pk,Aisle 7,14,14,0,2026-05-26 19:00:00,SYSTEM,False
INV-4548,STORE-184,SKU-4401,Jack Daniels 750ml,Liquor,9,9,0,2026-05-26 19:00:00,SYSTEM,False
INV-8891,STORE-184,SKU-2210,Chanel No.5 Perfume,Aisle 3,15,15,0,2026-05-26 19:00:00,SYSTEM,False
INV-7730,STORE-184,SKU-3301,Oral-B Electric Toothbrush,Aisle 9,11,11,0,2026-05-26 19:00:00,SYSTEM,False
INV-3979,STORE-184,SKU-5512,Duracell AA 20pk,Aisle 1,10,11,1,2026-05-26 19:00:00,SYSTEM,False
INV-3747,STORE-184,SKU-7723,Dove Men Care Gift Set,Aisle 7,12,13,1,2026-05-26 19:00:00,SYSTEM,False
